Variable,Coefficient,Std_Error,t_value,p_value,CI_lower,CI_upper
const,5.678506686181402,0.5012240992153816,11.32927705405738,2.621542602860797e-29,4.69582755915302,6.661185813209784
HoursStudied/Week,3.6972875205386027,0.021297096976121054,173.60523477373994,0.0,3.6555333177828,3.739041723294405
Attendance(%),0.28513586037830807,0.005457420704195082,52.24736662854782,0.0,0.27443626827605255,0.2958354524805636
Gender_Male,-2.0373422717043077,0.15825869200306183,-12.873493682513761,3.4537359636266947e-37,-2.3476176825348527,-1.7270668608737627
Tutoring_Yes,14.609064202875103,0.1713528245753198,85.25721264929336,0.0,14.273116980203422,14.945011425546785
Region_Urban,3.0781536490147285,0.16188417173754763,19.014543645472273,3.0513616668018595e-77,2.760770273371397,3.39553702465806
Edu_Secondary,2.266267548384243,0.18979168250377473,11.940815943497258,2.559112828515015e-32,1.8941698675823584,2.6383652291861277
Edu_Tertiary,4.257843946715906,0.20380962490323884,20.891280030260447,4.5938109509814694e-92,3.8582632709395117,4.6574246224923
